qNums;queries
1;" Antitrust Cases Pending 

Document discusses a pending antitrust case."
2;" Acquisitions 

Document discusses a currently proposed acquisition involving a U.S.
company and a foreign company."
3;" Joint Ventures 

Document will announce a new joint venture involving a Japanese
company."
4;" Debt Rescheduling  Document will discuss a current debt rescheduling
agreement between a developing country and one or more of its
creditor(s)."
5;" Dumping Charges 

The U.S. or the EC charges Japan with dumping a product on any market
and/or takes action against Japan for proven or suspected dumping."
6;" Third World Debt Relief 

Document will discuss debt relief for a developing country."
7;" U.S. Budget Deficit 

Document will mention a proposal to decrease the U.S. budget deficit."
8;" Economic Projections 

Document will contain quantitative projections of the future value of
some economic indicator for countries other than the U.S."
9;" U.S. Congressional Positions on the SDI 

Document will identify position(s) held by members of the U.S. Congress on 
paying for the Strategic Defense Initiative (SDI, also known as ""star wars"")."
10;" AIDS treatments 

Document will mention a specific AIDS or ARC treatment."
11;" Space Program 

Document discusses the goals or plans of the space program or a space
project of any country or organization."
12;" Water Pollution 

Document is about the pollution of a body of water."
13;" Mitsubishi Heavy Industries Ltd. 

Document refers to Mitusbishi Heavy Industries Ltd."
14;" Drug Approval 

Document cites current final national approval granted to a company to
market a drug for the treatment of a specific ailment."
15;" International Trade Liberalization Talks 

Document will identify developments in international trade negotiations 
aimed at bolstering international commerce through reducing barriers to 
trade, or preventing the creation of such barriers."
16;" Marketing of Agrochemicals 

Document will describe marketing strategies carried out by U.S.
companies for their agricultural chemicals, report predictions for
market share of such chemicals, or report market statistics for the
chemicals."
17;" Measures to Control Agrochemicals 

Document will announce measures to ban, regulate, or curb use of
agricultural chemicals in the U.S. or use of chemicals abroad on
produce for the U.S. market."
18;" Japanese Stock Market Trends 

Document will identify trends in the Japanese stock market."
19;"  U.S. Protectionist Measures 

Document will identify a trade protection measure designed to benefit an
identified U.S. corporation or industry."
20;" Patent Infringement Lawsuits 

Document will discuss a current patent infringement lawsuit."
21;" Superconductors 

Document cites a breakthrough in superconductivity research and
identifies at least one commercial application."
22;" Counternarcotics 

Document will announce countermeasures to curb the production of
illegal drugs abroad or to curb the entry of illegal drugs into the
U.S."
23;" Legal Repercussions of Agrochemical Use 

Document will announce legal remedies for misuse, accidental or
intentional, of agrochemicals worldwide."
24;" New Medical Technology 

Document reports new medical breakthroughs, in treatments, drugs,
equipment."
25;" Aftermath of Chernobyl 

Document cites measures taken by European countries to record or
contain the results of the Chernobyl accident."
26;" Tracking Influential Players in Multimedia  

Document identifies companies that develop multimedia applications, 
standards or specifications."
27;" Expert systems and neural networks in business or
manufacturing.  

Document describes an expert system or neural network application for 
business or manufacturing in layman's terms."
28;" AT&T's Technical Efforts  

Document must describe AT&T's technical efforts in computers and 
communications."
29;" Foreign installation of AT&T communications products  

Document cites efforts by a foreign entity to obtain communications 
technology from AT&T."
30;" OS/2 problems  

Document cites problems associated with IBM's operating system product OS/2."
31;" Advantages of OS/2  

Document cites technical advantages of IBM's OS/2 product over competing 
products."
32;" Who outsources computer work to whom  

Document will identify a company that outsources some of its computer work 
to another company."
33;" Companies Capable of Producing Document Management
Systems  

Document must identify a company who has the capability to produce a 
document management system by obtaining a turnkey-system or by obtaining 
and integrating the basic components."
34;" Entities Involved In Building ISDN Applications and
Developing Strategies to Exploit ISDN  

Document must describe applications companies plan to build (are building, 
have built) for themselves or for others, which exploit ISDN's services 
and capabilities or identify general strategies for using ISDN."
35;" Alternatives to Postscript  

Document must identify a need for, or the existence of, an alternative to 
Postscript."
36;" How Rewritable Optical Disks Work  

Document describes the principles and mechanisms behind rewritable optical 
disk technology."
37;" Identify SAA components  

Document identifies software products which adhere to IBM's SAA standards."
38;"  Impact of the ""Religious Right"" on U.S. Law 

Document will report on specific legal actions which reflect actions by, and 
the agenda of, the ""religious right."""
39;" Client-Server Plans and Expectations  

Document must state how a client-server implementation will be carried out 
and why it will help them."
40;"  Analyses of Savings and Loan Failures 

Document will provide at least one reason why a U.S. Savings and Loan has 
failed, or why the industry generally is under stress."
41;" Computer or Communications Systems Upgrade  

Document must identify an organization beginning, in the midst, or recently 
completing a computer or communications system upgrade."
42;" What is End User Computing and Who's Doing It  

Document must discuss end-user computing in general or identify 
organizations performing end-user computing or showing a capacity for 
performing end-user computing."
43;" U.S. Technology Policy 

Document will describe federal actions to encourage, select, or protect
technology because of its presumed centrality to the future defense posture 
or economic competitiveness of the U.S."
44;" Staff Reductions at Computers and Communications
Companies  

Document reports cutbacks or projected cutbacks of more than 500 workers 
for a computer or communications company."
45;" What Makes CASE succeed or fail  

Document must identify the ingredients for making CASE work, and identify 
companies with experience using CASE."
46;" Tracking Computer Virus Outbreaks  

Document will identify a computer virus attack and name the victimized 
organization."
47;" Contracts for Computer systems in excess of $1 Million.  

Document must report the granting of a contract for computer or 
communications equipment or services valued at more than $1 Million."
48;" Purchasers of Modern Communications Equipment  

Document must identify an organization purchasing a piece of communications 
equipment or software, described in database."
49;" Who's working with Supercomputers  

Document must identify an organization involved in the operation, 
programming or purchase of a supercomputer."
50;" Potential Military Interest in Virtual Reality
Applications  

Document must describe virtual reality investigations being conducted by 
entities associated with the military industrial complex."
51;"  Airbus Subsidies 

Document will discuss government assistance to Airbus Industrie, or mention a
trade dispute between Airbus and a U.S. aircraft producer over the issue of
subsidies."
52;"  South African Sanctions 

Document discusses sanctions against South Africa."
53;"  Leveraged Buyouts 

Document mentions a leveraged buyout valued at or above 200 million dollars."
54;"  Satellite Launch Contracts 

Document will cite the signing of a contract or preliminary agreement, or the
making of a tentative reservation, to launch a commercial satellite."
55;"  Insider Trading   

Document discusses an insider-trading case."
56;"  Prime (Lending) Rate Moves, Predictions 

Document will include a prediction about the prime lending rate, or will
report an actual prime rate move."
57;"  MCI 

Document will discuss how MCI has been doing since the Bell System breakup."
58;"  Rail Strikes 

Document will predict or anticipate a rail strike or report an ongoing rail 
strike."
59;"  Weather Related Fatalities 

Document will report a type of weather event which has directly caused at
least one fatality in some location."
60;"  Merit-Pay vs. Seniority 

Document will describe either one or both sides of the controversy over the
use of standards of performance to determine salary levels and incentive pay
as contrasted with determining pay solely on the basis of seniority or
longevity on the job."
61;"  Israeli Role in Iran-Contra Affair 

Document will discuss the role of Israel in the Iran-Contra Affair."
62;"  Military Coups D'etat 

Document will report a military coup d'etat, either attempted or successful,
in any country."
63;"  Machine Translation 

Document will identify a machine translation system."
64;"  Hostage-Taking 

Document will report an event or result of politically motivated
hostage-taking."
65;"  Information Retrieval Systems 

Document will identify a type of information retrieval system."
66;"  Natural Language Processing 

Document will identify a type of natural language processing technology which
is being developed or marketed in the U.S."
67;"  Politically Motivated Civil Disturbances 

Document will report a current civil disturbance in any country, involving
citizens of that country protesting a political position of their own
country's government."
68;"  Health Hazards from Fine-Diameter Fibers 

Document will report actual studies, or even unsubstantiated concerns about
the safety to manufacturing employees and installation workers of
fine-diameter fibers used in insulation and other products."
69;"  Attempts to Revive the SALT II Treaty 

Document will report an attempt by the U.S. House of Representatives or a
European country to revive the SALT II Treaty ceilings on weapons in order to
limit President Reagan's military build up."
70;"  Surrogate Motherhood 

Document will report judicial proceedings and opinions on contracts for
surrogate motherhood."
71;"  Border Incursions 

Document will report incursions by land, air, or water into the border area of
one country by military forces of a second country or a guerrilla group based
in a second country."
72;"  Demographic Shifts in the U.S. 

Document will report a movement of people from one area of the U.S. to another
for a variety of reasons. The movement of population described should be large
enough to have some economic impact."
73;"  Demographic Shifts across National Boundaries 

Document will report a movement of people from one country to another for a
variety of reasons. The movement of population described should be large enough
to have some economic impact."
